,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_rate_drop,param_skip_drop,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
16,178.37216730117797,9.125101661682129,-0.40327088154342455,-0.3920288983692884,0.3,0.5,"{'rate_drop': 0.3, 'skip_drop': 0.5}",1,-0.4030403269921016,-0.39212274405497083,-0.40343018528049435,-0.391693603498784,-0.4032947712868617,-0.3920308462544292,-0.40332238684954475,-0.39215773441953106,-0.40326673742526703,-0.3921395636187269,0.8635765623691684,0.21110587657414812,0.00012788576636786403,0.00017325067528855338
17,178.85627431869506,9.164165353775024,-0.4033340058115262,-0.3921974215209704,0.3,0.6,"{'rate_drop': 0.3, 'skip_drop': 0.6}",18,-0.40315998630219846,-0.3922724219951699,-0.4035208170031044,-0.3920074129160348,-0.40334777625138457,-0.39216719391180743,-0.403351670379048,-0.39228663131927416,-0.40328977905619456,-0.3922534474625661,0.6100335509002651,0.12642801322082783,0.00011630901949856479,0.00010367192838999959
18,178.70816593170167,9.268353176116943,-0.40336682075416985,-0.3921522124272851,0.4,0.1,"{'rate_drop': 0.4, 'skip_drop': 0.1}",36,-0.4031120775086724,-0.39221322032097355,-0.4035279888612008,-0.39185013466000485,-0.4034958709086561,-0.39231718889120026,-0.4033272697861237,-0.3921929409067792,-0.4033708966184497,-0.3921875773574676,1.1361776681746598,0.1258813970769344,0.0001477187990762473,0.00015817690194967944
19,177.87782797813415,9.126468324661255,-0.4032848046096324,-0.39212235803492523,0.4,0.2,"{'rate_drop': 0.4, 'skip_drop': 0.2}",3,-0.40296071622736335,-0.39208598185548826,-0.40353503280107966,-0.39184004625384194,-0.40336360555144896,-0.3921166956720834,-0.40327193267556644,-0.39226356412208446,-0.40329273578048286,-0.3923055022711281,0.5131955661726639,0.18376765751307095,0.00018659355700488797,0.00016403426521733214
20,178.6564552783966,9.158215284347534,-0.40335212763909295,-0.39214962319537566,0.4,0.3,"{'rate_drop': 0.4, 'skip_drop': 0.3}",31,-0.40314814324848003,-0.39231919829982487,-0.4036415595837237,-0.3920260863131677,-0.40334410553094857,-0.39207727694116123,-0.4031839680871353,-0.39212716024830835,-0.4034428615536669,-0.3921983941744161,0.6458252373930028,0.1469803088079649,0.0001799751007798323,0.00010211194856723722
21,178.58757510185242,9.332152891159058,-0.4033559233862584,-0.39214949013510514,0.4,0.4,"{'rate_drop': 0.4, 'skip_drop': 0.4}",34,-0.4031036698848916,-0.39221586182320756,-0.4037248271175146,-0.39210616845663926,-0.40338591760169473,-0.39206843992429735,-0.40329405033212823,-0.39215742279582827,-0.4032711516323409,-0.3921995576755532,0.9237284837841118,0.17853204653706412,0.00020573582676926966,5.553519819235198e-05
22,178.39689335823059,9.336871814727782,-0.40333706996391927,-0.39213138235277356,0.4,0.5,"{'rate_drop': 0.4, 'skip_drop': 0.5}",19,-0.4031129467344557,-0.3922351923759346,-0.4037276643818949,-0.3920690182970254,-0.4034119418505075,-0.39211897873192103,-0.403168998861527,-0.39208244772515394,-0.4032637973942544,-0.3921512746338327,0.7348259177798517,0.21838562199182907,0.00022000815528726915,5.934635084707699e-05
23,178.52266683578492,9.229408025741577,-0.4033454316898535,-0.3921647869363029,0.4,0.6,"{'rate_drop': 0.4, 'skip_drop': 0.6}",25,-0.4031902976133089,-0.3923269397767782,-0.40358420431141867,-0.39208005488921915,-0.4034597578136704,-0.39226002295846135,-0.4031810944188374,-0.39206804096194275,-0.4033118038023707,-0.3920888760951131,0.9768066358598174,0.20186531355805723,0.0001563886402236034,0.0001073919948215924
24,178.41497769355774,9.351729774475098,-0.40328934668330135,-0.39201472837660806,0.5,0.1,"{'rate_drop': 0.5, 'skip_drop': 0.1}",5,-0.40296218979591997,-0.39204535338926433,-0.4035081314835509,-0.3917899577717885,-0.4033403884953934,-0.39201556955086275,-0.4033039506790251,-0.39205844694498115,-0.40333207310442265,-0.39216431422614373,1.1830574373329195,0.28384525741361727,0.0001786295949290809,0.00012308343785187342
25,178.19646954536438,9.19205150604248,-0.4033425665364904,-0.39215111190305024,0.5,0.2,"{'rate_drop': 0.5, 'skip_drop': 0.2}",23,-0.403127257369678,-0.3921971148008776,-0.4035016910691574,-0.3919746134558502,-0.403394926075746,-0.39220064316044184,-0.40331823618484236,-0.39221757017479014,-0.4033707219924896,-0.39216561792329147,0.8889159600543538,0.17020207419205202,0.00012312996617426874,8.983144264367574e-05
26,178.4842890739441,9.186932516098022,-0.4033258635407457,-0.3921837857529821,0.5,0.3,"{'rate_drop': 0.5, 'skip_drop': 0.3}",13,-0.403028337329541,-0.3921836227211939,-0.4036853156620258,-0.3920684755263268,-0.4033478783718286,-0.39218211243275064,-0.4032347817043442,-0.392147864749088,-0.40333300442836334,-0.3923368533355512,0.5764617864720565,0.0985783848117187,0.00021286588422853717,8.72000897999099e-05
27,178.3704750061035,9.367127513885498,-0.4033331846131722,-0.3921639451271317,0.5,0.4,"{'rate_drop': 0.5, 'skip_drop': 0.4}",17,-0.4030901742678139,-0.39225967038113396,-0.4035988465148508,-0.39213376426415775,-0.4034973594882493,-0.3922673156483366,-0.40319477008338855,-0.39214812632662965,-0.4032847722494474,-0.3920108490154007,0.7602232099672871,0.33257228354415924,0.0001887252635917331,9.428502243125075e-05
28,178.17531714439392,9.16431155204773,-0.4033527113185249,-0.39210708723760235,0.5,0.5,"{'rate_drop': 0.5, 'skip_drop': 0.5}",32,-0.4030033047756605,-0.39196749770827133,-0.403645293631494,-0.39212577775314816,-0.40339749779984274,-0.392143801198883,-0.4033510114713039,-0.3922005903946607,-0.4033664489440986,-0.3920977691330486,0.6069592618005492,0.22364380963909902,0.00020488386466020387,7.747535669552537e-05
29,178.61240916252137,9.203403520584107,-0.4033236714151052,-0.3921237498766052,0.5,0.6,"{'rate_drop': 0.5, 'skip_drop': 0.6}",11,-0.4031572598124901,-0.39240509184480876,-0.40349326809233366,-0.3917823900634458,-0.40345691110337006,-0.39222444873083684,-0.40321475407851637,-0.3921290425162672,-0.40329616365137233,-0.3920777762276674,0.9542102114925096,0.15773677989350673,0.00013177889581310714,0.00020394198821611017
30,178.67025866508484,9.408061647415161,-0.4033466372752695,-0.3921806678859086,0.6,0.1,"{'rate_drop': 0.6, 'skip_drop': 0.1}",27,-0.4030351066370763,-0.39208454754268524,-0.4036192249453827,-0.39215167333213874,-0.40337634505316294,-0.39221655400998906,-0.40328950484063636,-0.3921339061305924,-0.4034130049229322,-0.3923166584141375,0.9423419295260885,0.33337399221492114,0.000189687568001116,8.005960774252209e-05
31,178.2501404285431,9.201003360748292,-0.40328519118043826,-0.3920499723545558,0.6,0.2,"{'rate_drop': 0.6, 'skip_drop': 0.2}",4,-0.4030008503126663,-0.39186896820123585,-0.40351370466938896,-0.39190918361665444,-0.40331328454475546,-0.39198774817937604,-0.4033016121472111,-0.39228214719136656,-0.4032965042967689,-0.392201814584146,0.9454958217368572,0.27846997302201143,0.00016386283741852965,0.0001633505664212738
32,178.7210674762726,9.237081956863403,-0.40334558888452443,-0.392157910961918,0.6,0.3,"{'rate_drop': 0.6, 'skip_drop': 0.3}",26,-0.4031370656344852,-0.3922457921639944,-0.4035727041921792,-0.3919253220133903,-0.40340612276168597,-0.39212676029643706,-0.40316462831635147,-0.3920066699341891,-0.40344742332220396,-0.3924850104015791,1.091367525936187,0.26289633141911584,0.0001684308004399047,0.00019629517595225676
33,178.56339421272278,9.36673879623413,-0.4033316523365595,-0.39211618280870636,0.6,0.4,"{'rate_drop': 0.6, 'skip_drop': 0.4}",15,-0.4029899301162134,-0.39196440008932387,-0.4035886439681271,-0.3919665230309157,-0.40343687131716843,-0.3921999336085819,-0.4033595457126805,-0.39226811388176724,-0.4032832705179303,-0.39218194343294294,0.8574973886244083,0.2694485277389179,0.00019849878410896352,0.0001263785979766314
34,178.47410860061646,9.359844970703126,-0.4033422354280705,-0.3921347065411186,0.6,0.5,"{'rate_drop': 0.6, 'skip_drop': 0.5}",21,-0.40308606326566515,-0.3921929147129867,-0.4034930014344308,-0.3919801249814277,-0.40346500582718164,-0.39227921120684583,-0.40330982751231587,-0.39203665031759743,-0.4033572790578091,-0.3921846314867355,0.7549134937513817,0.3924516723720032,0.00014470923992450347,0.00010979323426488159
35,176.3276360988617,8.58236927986145,-0.40333210124142377,-0.39213100000383394,0.6,0.6,"{'rate_drop': 0.6, 'skip_drop': 0.6}",16,-0.4031291756383931,-0.3923085422857414,-0.40358792540596544,-0.3920412278943779,-0.40346347970849306,-0.392161178524238,-0.403182417042244,-0.39197958506547514,-0.403297507956218,-0.3921644662493374,4.017618687533691,0.9149674857835342,0.00017174821544743818,0.00011361118760154879
