,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_reg_alpha,param_reg_lambda,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
15,93.38234124183654,2.2980965614318847,-0.4099279579427751,-0.3546427210806624,4,0.4,"{'reg_alpha': 4, 'reg_lambda': 0.4}",22,-0.4084912918658802,-0.35490070516078637,-0.40905931428100284,-0.3550552297280573,-0.4106635221027223,-0.353367942826931,-0.4116481267839953,-0.35457188865511213,-0.4097775631817058,-0.35531783903242514,0.24125012142714128,0.032411454426184115,0.0011261624016819457,0.0006815541427151747
16,93.5528088569641,2.347051477432251,-0.4099915427325719,-0.35465275208907043,4,0.5,"{'reg_alpha': 4, 'reg_lambda': 0.5}",26,-0.40840678750668596,-0.35515856358593006,-0.40926749500003706,-0.35466541086799663,-0.41085548560358626,-0.3540585742845888,-0.41170634630315733,-0.35444467213145336,-0.40972162779401167,-0.35493653957538346,0.6554654602493573,0.06611720868658226,0.0011658045131485903,0.00038285385841797917
17,93.73582944869995,2.343369483947754,-0.40979916785822923,-0.3551324369761275,4,0.6,"{'reg_alpha': 4, 'reg_lambda': 0.6}",15,-0.4083670819249122,-0.3555521755284685,-0.40888328933866125,-0.3557037302627583,-0.41032867343915713,-0.3541740695039,-0.4115532897506906,-0.35488275027723293,-0.40986353386651253,-0.3553494593082777,0.6203696404073891,0.09253357960269025,0.0011181387348752753,0.0005532570512431372
18,93.43427920341492,2.294383192062378,-0.40974997197583285,-0.3550672176645917,4,0.7,"{'reg_alpha': 4, 'reg_lambda': 0.7}",14,-0.40832972934654327,-0.35575800616836456,-0.4088398460333261,-0.3550927630692507,-0.4106261205645656,-0.3543124991220974,-0.41115156087158755,-0.3549300065191061,-0.4098026318743847,-0.35524281344413966,0.5619931730508145,0.037506106199591986,0.0010564361586902172,0.00046842335109795625
19,93.61130948066712,2.3038565158843993,-0.4099399622882096,-0.35532967807203636,4,0.8,"{'reg_alpha': 4, 'reg_lambda': 0.8}",23,-0.4085478756268974,-0.3557328053073646,-0.4092682125162106,-0.3557659717410681,-0.4106791650624735,-0.3542639724076456,-0.41152944062942237,-0.3548958454068713,-0.4096751431220476,-0.3559897954972321,0.513719561420508,0.030818192015090014,0.001051869434655298,0.0006500089373272261
20,93.8767035961151,2.3372735500335695,-0.4099110150554467,-0.3566574181860034,5,0.4,"{'reg_alpha': 5, 'reg_lambda': 0.4}",21,-0.40865120762418705,-0.35701804064169634,-0.4088994318877057,-0.35708932580533564,-0.41042209568595617,-0.35576198900856393,-0.4115527729741995,-0.35629190553800527,-0.4100295951872607,-0.35712582993641606,0.7452427396987131,0.06594391566113035,0.0010565087472167187,0.0005424749252764487
21,93.65556297302246,2.3427967548370363,-0.40974115895677954,-0.356907713840833,5,0.5,"{'reg_alpha': 5, 'reg_lambda': 0.5}",12,-0.40850402352115667,-0.35732917871988873,-0.40901567960095125,-0.3575949833878824,-0.41014964207883425,-0.35609806690038953,-0.411269475864652,-0.3562293845383219,-0.40976699798286487,-0.35728695565768226,0.7317924172223937,0.0335009334457066,0.0009549980049132805,0.0006179733393991591
22,93.50589623451233,2.3400046825408936,-0.40990477083775506,-0.3570252297442025,5,0.6,"{'reg_alpha': 5, 'reg_lambda': 0.6}",19,-0.40866083185046675,-0.35750929412822896,-0.4093434303437056,-0.35713095867188044,-0.41030925823280523,-0.3562794085978917,-0.4114939062027281,-0.3570597885634927,-0.40971644987843403,-0.3571466987595184,0.31796503921741015,0.04834286747050905,0.0009578009962172197,0.00040439959198489297
23,94.12620921134949,2.328649663925171,-0.41000132169163384,-0.35703084288976095,5,0.7,"{'reg_alpha': 5, 'reg_lambda': 0.7}",27,-0.4086803595415681,-0.35750367095422314,-0.40875950034588265,-0.35735131114441593,-0.41069294519905863,-0.3564915148014406,-0.411856112373438,-0.35655347427987005,-0.41001772268289977,-0.3572542432688549,0.5335888277352118,0.03672894230582213,0.0012004937985561526,0.0004230672728360009
24,94.12691984176635,2.347156620025635,-0.4099077898766822,-0.3571689592163415,5,0.8,"{'reg_alpha': 5, 'reg_lambda': 0.8}",20,-0.4084902914327946,-0.35754570484394727,-0.4089234981146611,-0.35721567344570343,-0.41085460816198466,-0.35683258072750407,-0.4115448738961687,-0.35701841829550784,-0.4097257074720579,-0.357232418769045,0.6424994711908331,0.0666485835400617,0.0011478501040044667,0.00023831057826805243
25,93.77977137565613,2.308189868927002,-0.4097489572799745,-0.3585425263619825,6,0.4,"{'reg_alpha': 6, 'reg_lambda': 0.4}",13,-0.4086781989264451,-0.3587145568693036,-0.4089746076558224,-0.35873967888439673,-0.41029393119696006,-0.3581423123790549,-0.4112163502321475,-0.35839390278857614,-0.4095817212002771,-0.3587221808885814,0.6428581929391707,0.05403746451180774,0.0009191678891286388,0.00023790736019457174
26,93.59209241867066,2.3521044731140135,-0.40985097983626,-0.35894141040116967,6,0.5,"{'reg_alpha': 6, 'reg_lambda': 0.5}",17,-0.4084621725949593,-0.35932736024872675,-0.40887677221402224,-0.359503701025811,-0.41043144018638406,-0.3581492448129374,-0.4117350094278345,-0.35843557349195726,-0.4097495339729615,-0.35929117242641573,0.41388002783285205,0.10013365055613242,0.0011640155587412562,0.000542376032581451
27,94.01002960205078,2.3238086223602297,-0.4095958259411215,-0.3589058256298751,6,0.6,"{'reg_alpha': 6, 'reg_lambda': 0.6}",7,-0.40802702724103684,-0.3596311590854356,-0.409058434132085,-0.3591606790539843,-0.41027848999282013,-0.3581412330617057,-0.4111937629465786,-0.35861603988302043,-0.4094214414327303,-0.3589800170652296,0.6369542279560766,0.04176642187343039,0.0010770113715158562,0.0005030190519245664
28,93.96799879074096,2.3554436206817626,-0.409826740544622,-0.35901832115745813,6,0.7,"{'reg_alpha': 6, 'reg_lambda': 0.7}",16,-0.4084481598428588,-0.3596066119549353,-0.4088711052897489,-0.35936464981719407,-0.41054959995185397,-0.358277845656238,-0.4115110909989134,-0.35856827384105855,-0.40975377549854447,-0.35927422451786495,0.7906230909346684,0.09668699779769577,0.001111630675790213,0.0005064311775007577
29,93.57064590454101,2.3952322959899903,-0.409870854649726,-0.35915974103265136,6,0.8,"{'reg_alpha': 6, 'reg_lambda': 0.8}",18,-0.4085955591062256,-0.35959374357640134,-0.409033900357786,-0.3593968006771983,-0.41048876526442896,-0.35865015588730415,-0.41153112479572357,-0.3588491667890323,-0.40970494983902306,-0.35930883823332055,0.31468696654270456,0.0786045588646324,0.0010481133246321363,0.0003529642586607522
30,93.5530424118042,2.298637580871582,-0.409685481037439,-0.3602686797957201,7,0.4,"{'reg_alpha': 7, 'reg_lambda': 0.4}",10,-0.4081352620003432,-0.36066224630622307,-0.40882038249628566,-0.3603611029061111,-0.4104093965778439,-0.35965979514814683,-0.4115295781508231,-0.36012452235843556,-0.4095328158233994,-0.3605357322596841,0.8200121635640444,0.043814026655757406,0.001191606725696025,0.00035391398073767767
31,93.51970343589782,2.2890092372894286,-0.4095820689177072,-0.3605635515936551,7,0.5,"{'reg_alpha': 7, 'reg_lambda': 0.5}",5,-0.40819072772207543,-0.3609059110946378,-0.4088457276765896,-0.36106035150048027,-0.4100693339209072,-0.35979035822958744,-0.41133677157043735,-0.3599503505503709,-0.4094678100038827,-0.36111078659319906,0.7635403790842042,0.02565180935000111,0.001077728569257651,0.0005722464185617292
32,94.02748990058899,2.4402021408081054,-0.4095439838456339,-0.3605297603994021,7,0.6,"{'reg_alpha': 7, 'reg_lambda': 0.6}",3,-0.40819304563590314,-0.3609128582764177,-0.408629597525809,-0.36107066877718325,-0.4101607408900579,-0.36011717589940195,-0.4112934553058004,-0.3598985941962668,-0.40944310787767757,-0.3606495048477409,0.8078064920814162,0.11942876446372362,0.0011056540746530415,0.00045216840558718295
33,93.9015191078186,2.3995104312896727,-0.4097033387875969,-0.3606898064983183,7,0.7,"{'reg_alpha': 7, 'reg_lambda': 0.7}",11,-0.40849550556969605,-0.36125208973651385,-0.4090844448602159,-0.36102250080179094,-0.40975218141817127,-0.3599333072489189,-0.41139563829134657,-0.3600549152398557,-0.4097889463830849,-0.36118621946451185,0.5155897453152019,0.09181656014763089,0.0009711315154239793,0.0005742215246641162
34,94.47656588554382,2.379121685028076,-0.40956017498250086,-0.3608277005799952,7,0.8,"{'reg_alpha': 7, 'reg_lambda': 0.8}",4,-0.40831550970740804,-0.3612321594561174,-0.40862218745549306,-0.3612505426151508,-0.4101244425786015,-0.3601807423787221,-0.4111511390677621,-0.36047414728047544,-0.40958762308821584,-0.3610009111695103,0.6055612999606572,0.0871235778443069,0.0010275538146090999,0.00042800446896839353
35,93.78111996650696,2.356632661819458,-0.40959050388553525,-0.3621747221101786,8,0.4,"{'reg_alpha': 8, 'reg_lambda': 0.4}",6,-0.40823555339224266,-0.3622276990866088,-0.40855186979383723,-0.3622814315075487,-0.4102226513227722,-0.3618266815617559,-0.41131332767848616,-0.3619366841673527,-0.40962914683314483,-0.3626011142276266,0.8566966642715018,0.031462184041784795,0.0011210603958764056,0.0002734220104204177
36,93.87345466613769,2.3185614109039308,-0.40950083945055643,-0.3622356608940219,8,0.5,"{'reg_alpha': 8, 'reg_lambda': 0.5}",2,-0.40818088406355174,-0.3624994187189361,-0.40846884758541263,-0.36271375066265815,-0.41026160601816153,-0.3618377523037787,-0.41113759228312763,-0.3618555083283524,-0.40945529638055717,-0.3622718744563843,0.3931627502758168,0.02588356031577994,0.001101552896017153,0.00034707251650096496
37,94.57240028381348,2.314508485794067,-0.40966541789514443,-0.36232602128315494,8,0.6,"{'reg_alpha': 8, 'reg_lambda': 0.6}",9,-0.40834437532304596,-0.36263716598517515,-0.408949816132002,-0.3630835747052968,-0.4102588719750447,-0.36181196599910487,-0.41139674170710877,-0.36159775098968805,-0.4093773095183381,-0.36249964873650975,0.572398594008834,0.02648428766794217,0.0010667629026914263,0.0005468958147506147
38,94.10220093727112,2.316134977340698,-0.4094968320957209,-0.3622934876656731,8,0.7,"{'reg_alpha': 8, 'reg_lambda': 0.7}",1,-0.40800926248253555,-0.3626609426951315,-0.40874728193843846,-0.3623817025470228,-0.4103578270592109,-0.3619028978367395,-0.4108466436435168,-0.3620776665234996,-0.4095231730132748,-0.36244422872597204,0.7598016966867441,0.04976181117169789,0.0010333144807679708,0.00027006188590813845
39,85.89592118263245,2.1825392723083494,-0.40962620492448143,-0.3625803788078765,8,0.8,"{'reg_alpha': 8, 'reg_lambda': 0.8}",8,-0.4082623861889512,-0.363122941445027,-0.4086752086670338,-0.3626974895542387,-0.4102753914389464,-0.3620328297052435,-0.411365093587896,-0.3624041357343281,-0.40955297335852775,-0.3626444976005451,11.077685345196791,0.16694535725813295,0.0011148935952675339,0.00035862849928205683
